ImageSet,File,hue_mean,hue_sd,saturation_mean, saturation_sd,value_mean, value_sd
iaps,6150.jpg, 0.071, 0.022, 0.318, 0.112, 0.521, 0.089
iaps,6190.jpg, 0.268, 0.364, 0.591, 0.325, 0.413, 0.330
iaps,6200.jpg, 0.590, 0.126, 0.386, 0.231, 0.448, 0.348
iaps,6210.jpg, 0.359, 0.173, 0.303, 0.183, 0.434, 0.255
iaps,6211.jpg, 0.337, 0.410, 0.580, 0.179, 0.427, 0.279
iaps,6212.jpg, 0.231, 0.151, 0.385, 0.179, 0.549, 0.337
iaps,6213.jpg, 0.117, 0.170, 0.354, 0.414, 0.159, 0.261
iaps,6220.jpg, 0.202, 0.202, 0.259, 0.211, 0.353, 0.306
iaps,6230.jpg, 0.060, 0.165, 0.341, 0.393, 0.289, 0.408
iaps,6231.jpg, 0.436, 0.419, 0.481, 0.199, 0.322, 0.326
iaps,6240.jpg, 0.254, 0.254, 0.191, 0.220, 0.720, 0.317
iaps,6241.jpg, 0.669, 0.120, 0.438, 0.245, 0.583, 0.308
iaps,6242.jpg, 0.613, 0.252, 0.465, 0.294, 0.313, 0.282
iaps,6243.jpg, 0.333, 0.298, 0.234, 0.218, 0.389, 0.297
iaps,6244.jpg, 0.140, 0.229, 0.151, 0.195, 0.231, 0.311
iaps,6250.1.jpg, 0.166, 0.145, 0.404, 0.346, 0.649, 0.403
iaps,6250.2.jpg, 0.201, 0.106, 0.434, 0.283, 0.772, 0.328
iaps,6250.jpg, 0.166, 0.146, 0.405, 0.346, 0.648, 0.402
iaps,6260.jpg, 0.525, 0.303, 0.854, 0.250, 0.194, 0.314
iaps,6263.jpg, 0.572, 0.365, 0.321, 0.268, 0.094, 0.133
iaps,6300.jpg, 0.250, 0.334, 0.157, 0.213, 0.079, 0.214
iaps,6311.jpg, 0.094, 0.221, 0.275, 0.326, 0.350, 0.381
iaps,6312.jpg, 0.537, 0.187, 0.440, 0.240, 0.374, 0.277
iaps,6313.jpg, 0.205, 0.236, 0.580, 0.384, 0.533, 0.253
iaps,6314.jpg, 0.185, 0.270, 0.125, 0.180, 0.360, 0.379
iaps,6315.jpg, 0.307, 0.314, 0.435, 0.290, 0.477, 0.341
iaps,6350.jpg, 0.427, 0.327, 0.677, 0.383, 0.235, 0.350
iaps,6360.jpg, 0.246, 0.349, 0.265, 0.315, 0.321, 0.359
iaps,6370.jpg, 0.488, 0.183, 0.336, 0.247, 0.364, 0.274
iaps,6410.jpg, 0.619, 0.260, 0.574, 0.350, 0.294, 0.327
iaps,6415.jpg, 0.233, 0.337, 0.264, 0.343, 0.201, 0.296
iaps,6510.jpg, 0.475, 0.275, 0.697, 0.270, 0.303, 0.265
iaps,6520.jpg, 0.130, 0.214, 0.300, 0.176, 0.551, 0.299
iaps,6530.jpg, 0.291, 0.391, 0.563, 0.312, 0.276, 0.243
iaps,6540.jpg, 0.281, 0.310, 0.764, 0.198, 0.371, 0.280
iaps,6550.jpg, 0.071, 0.079, 0.655, 0.229, 0.539, 0.242
iaps,6555.jpg, 0.280, 0.372, 0.203, 0.257, 0.194, 0.269
iaps,6560.jpg, 0.287, 0.340, 0.706, 0.212, 0.365, 0.289
iaps,6561.jpg, 0.078, 0.125, 0.432, 0.138, 0.394, 0.208
iaps,6562.jpg, 0.543, 0.357, 0.325, 0.239, 0.397, 0.364
iaps,6563.jpg, 0.245, 0.304, 0.350, 0.187, 0.668, 0.293
iaps,6570.1.jpg, 0.428, 0.358, 0.462, 0.356, 0.193, 0.173
iaps,6570.2.jpg, 0.297, 0.170, 0.413, 0.220, 0.171, 0.186
iaps,6570.jpg, 0.428, 0.358, 0.462, 0.356, 0.193, 0.173
iaps,6571.jpg, 0.423, 0.229, 0.304, 0.201, 0.349, 0.283
iaps,6610.jpg, 0.227, 0.070, 0.266, 0.182, 0.813, 0.207
iaps,6800.jpg, 0.426, 0.248, 0.183, 0.241, 0.622, 0.299
iaps,6821.jpg, 0.479, 0.252, 0.228, 0.183, 0.402, 0.318
iaps,6825.jpg, 0.199, 0.151, 0.380, 0.233, 0.212, 0.237
iaps,6830.jpg, 0.128, 0.209, 0.248, 0.292, 0.227, 0.321
iaps,6831.jpg, 0.152, 0.253, 0.262, 0.266, 0.279, 0.309
iaps,6832.jpg, 0.405, 0.278, 0.154, 0.149, 0.674, 0.298
iaps,6834.jpg, 0.209, 0.148, 0.641, 0.351, 0.265, 0.267
iaps,6836.jpg, 0.331, 0.120, 0.802, 0.271, 0.183, 0.256
iaps,6837.jpg, 0.419, 0.358, 0.390, 0.231, 0.508, 0.324
iaps,6838.jpg, 0.268, 0.158, 0.448, 0.310, 0.451, 0.341
iaps,6840.jpg, 0.191, 0.093, 0.763, 0.228, 0.353, 0.329
iaps,6900.jpg, 0.228, 0.145, 0.257, 0.292, 0.608, 0.378
iaps,6910.jpg, 0.305, 0.236, 0.193, 0.222, 0.595, 0.407
iaps,6930.jpg, 0.185, 0.172, 0.515, 0.290, 0.433, 0.309
iaps,6940.jpg, 0.290, 0.387, 0.402, 0.272, 0.514, 0.312
iaps,7000.jpg, 0.103, 0.141, 0.726, 0.240, 0.462, 0.284
iaps,7001.jpg, 0.504, 0.293, 0.357, 0.253, 0.512, 0.272
iaps,7002.jpg, 0.265, 0.208, 0.538, 0.353, 0.606, 0.253
iaps,7003.jpg, 0.349, 0.355, 0.553, 0.353, 0.380, 0.145
iaps,7004.jpg, 0.090, 0.164, 0.638, 0.202, 0.408, 0.174
iaps,7006.jpg, 0.165, 0.232, 0.639, 0.334, 0.348, 0.308
iaps,7009.jpg, 0.177, 0.208, 0.925, 0.116, 0.593, 0.106
iaps,7010.jpg, 0.113, 0.243, 0.722, 0.330, 0.373, 0.296
iaps,7011.jpg, 0.432, 0.416, 0.485, 0.236, 0.646, 0.275
iaps,7012.jpg, 0.503, 0.164, 0.163, 0.213, 0.849, 0.230
iaps,7013.jpg, 0.221, 0.267, 0.379, 0.195, 0.641, 0.190
iaps,7014.jpg, 0.429, 0.351, 0.228, 0.330, 0.759, 0.379
iaps,7016.jpg, 0.250, 0.311, 0.131, 0.245, 0.884, 0.162
iaps,7017.jpg, 0.423, 0.251, 0.462, 0.293, 0.324, 0.199
iaps,7018.jpg, 0.220, 0.388, 0.023, 0.034, 0.829, 0.294
iaps,7019.jpg, 0.144, 0.183, 0.452, 0.165, 0.744, 0.205
iaps,7020.jpg, 0.456, 0.165, 0.405, 0.334, 0.522, 0.339
iaps,7021.jpg, 0.484, 0.246, 0.043, 0.103, 0.860, 0.164
iaps,7023.jpg, 0.478, 0.350, 0.219, 0.258, 0.469, 0.337
iaps,7025.jpg, 0.084, 0.095, 0.311, 0.297, 0.531, 0.407
iaps,7026.jpg, 0.209, 0.059, 0.459, 0.204, 0.526, 0.236
iaps,7030.jpg, 0.357, 0.264, 0.394, 0.307, 0.462, 0.259
iaps,7031.jpg, 0.154, 0.307, 0.881, 0.107, 0.318, 0.181
iaps,7032.jpg, 0.322, 0.230, 0.278, 0.223, 0.653, 0.215
iaps,7033.jpg, 0.387, 0.245, 0.187, 0.177, 0.614, 0.357
iaps,7034.jpg, 0.247, 0.183, 0.159, 0.209, 0.577, 0.298
iaps,7035.jpg, 0.352, 0.152, 0.326, 0.213, 0.651, 0.287
iaps,7036.jpg, 0.350, 0.346, 0.420, 0.236, 0.512, 0.270
iaps,7037.jpg, 0.367, 0.382, 0.305, 0.183, 0.340, 0.267
iaps,7038.jpg, 0.631, 0.374, 0.218, 0.114, 0.435, 0.201
iaps,7039.jpg, 0.155, 0.181, 0.373, 0.300, 0.263, 0.250
iaps,7040.jpg, 0.300, 0.133, 0.268, 0.194, 0.633, 0.223
iaps,7041.jpg, 0.128, 0.263, 0.403, 0.134, 0.443, 0.159
iaps,7042.jpg, 0.555, 0.250, 0.067, 0.119, 0.672, 0.263
iaps,7043.jpg, 0.065, 0.154, 0.065, 0.133, 0.814, 0.326
iaps,7044.jpg, 0.304, 0.374, 0.218, 0.212, 0.312, 0.252
iaps,7045.jpg, 0.292, 0.142, 0.110, 0.169, 0.662, 0.256
iaps,7046.jpg, 0.206, 0.275, 0.138, 0.239, 0.770, 0.117
iaps,7050.jpg, 0.098, 0.110, 0.534, 0.220, 0.736, 0.327
iaps,7052.jpg, 0.249, 0.268, 0.379, 0.342, 0.817, 0.162
iaps,7053.jpg, 0.167, 0.245, 0.068, 0.126, 0.863, 0.220
iaps,7054.jpg, 0.288, 0.263, 0.133, 0.184, 0.705, 0.236
iaps,7055.jpg, 0.464, 0.303, 0.182, 0.216, 0.711, 0.273
iaps,7056.jpg, 0.227, 0.248, 0.130, 0.257, 0.774, 0.293
iaps,7057.jpg, 0.171, 0.091, 0.457, 0.201, 0.573, 0.300
iaps,7058.jpg, 0.159, 0.226, 0.163, 0.229, 0.754, 0.155
iaps,7059.jpg, 0.447, 0.199, 0.082, 0.116, 0.710, 0.243
iaps,7060.jpg, 0.265, 0.195, 0.330, 0.292, 0.401, 0.361
iaps,7061.jpg, 0.450, 0.363, 0.225, 0.255, 0.567, 0.389
iaps,7062.jpg, 0.333, 0.342, 0.132, 0.118, 0.491, 0.250
iaps,7077.jpg, 0.474, 0.356, 0.193, 0.197, 0.615, 0.358
iaps,7078.jpg, 0.274, 0.191, 0.291, 0.332, 0.668, 0.209
iaps,7079.jpg, 0.214, 0.293, 0.547, 0.323, 0.780, 0.244
iaps,7080.jpg, 0.175, 0.310, 0.389, 0.186, 0.559, 0.183
iaps,7081.jpg, 0.402, 0.272, 0.196, 0.192, 0.485, 0.279
iaps,7090.jpg, 0.593, 0.399, 0.310, 0.302, 0.540, 0.292
iaps,7092.jpg, 0.248, 0.313, 0.377, 0.234, 0.595, 0.237
iaps,7095.jpg, 0.199, 0.229, 0.494, 0.379, 0.536, 0.395
iaps,7096.jpg, 0.206, 0.127, 0.831, 0.289, 0.408, 0.436
iaps,7100.jpg, 0.285, 0.201, 0.360, 0.304, 0.429, 0.306
iaps,7110.jpg, 0.448, 0.115, 0.305, 0.243, 0.514, 0.198
iaps,7130.jpg, 0.165, 0.320, 0.540, 0.367, 0.403, 0.342
iaps,7135.jpg, 0.474, 0.134, 0.185, 0.146, 0.608, 0.249
iaps,7136.jpg, 0.397, 0.323, 0.308, 0.340, 0.555, 0.351
iaps,7137.jpg, 0.455, 0.247, 0.163, 0.134, 0.439, 0.192
iaps,7140.jpg, 0.238, 0.193, 0.348, 0.354, 0.497, 0.306
iaps,7150.jpg, 0.261, 0.271, 0.221, 0.269, 0.632, 0.340
iaps,7160.jpg, 0.734, 0.329, 0.309, 0.250, 0.513, 0.341
iaps,7161.jpg, 0.315, 0.361, 0.503, 0.290, 0.628, 0.311
iaps,7165.jpg, 0.257, 0.278, 0.232, 0.197, 0.618, 0.194
iaps,7170.jpg, 0.126, 0.064, 0.707, 0.225, 0.564, 0.313
iaps,7175.jpg, 0.122, 0.265, 0.528, 0.268, 0.247, 0.263
iaps,7179.jpg, 0.246, 0.335, 0.594, 0.278, 0.562, 0.210
iaps,7180.jpg, 0.115, 0.261, 0.367, 0.453, 0.110, 0.200
iaps,7182.jpg, 0.152, 0.261, 0.526, 0.476, 0.755, 0.368
iaps,7183.jpg, 0.184, 0.232, 0.510, 0.463, 0.769, 0.377
iaps,7184.jpg, 0.049, 0.074, 0.472, 0.415, 0.344, 0.409
iaps,7185.jpg, 0.236, 0.366, 0.454, 0.348, 0.701, 0.262
iaps,7186.jpg, 0.068, 0.087, 0.340, 0.384, 0.484, 0.480
iaps,7187.jpg, 0.099, 0.182, 0.236, 0.339, 0.591, 0.418
iaps,7188.jpg, 0.107, 0.190, 0.203, 0.361, 0.244, 0.346
iaps,7190.jpg, 0.308, 0.344, 0.726, 0.207, 0.393, 0.308
iaps,7192.jpg, 0.336, 0.394, 0.243, 0.295, 0.406, 0.212
iaps,7195.jpg, 0.068, 0.091, 0.648, 0.334, 0.386, 0.294
iaps,7200.jpg, 0.146, 0.250, 0.681, 0.353, 0.691, 0.335
iaps,7205.jpg, 0.567, 0.344, 0.783, 0.200, 0.493, 0.171
iaps,7207.jpg, 0.674, 0.246, 0.809, 0.229, 0.345, 0.286
iaps,7211.jpg, 0.302, 0.191, 0.135, 0.155, 0.750, 0.266
iaps,7217.jpg, 0.254, 0.221, 0.315, 0.319, 0.401, 0.364
iaps,7220.jpg, 0.049, 0.073, 0.383, 0.418, 0.272, 0.370
iaps,7224.jpg, 0.110, 0.097, 0.305, 0.258, 0.361, 0.317
iaps,7230.jpg, 0.278, 0.363, 0.814, 0.294, 0.452, 0.313
iaps,7233.jpg, 0.157, 0.108, 0.612, 0.391, 0.562, 0.269
iaps,7234.jpg, 0.394, 0.220, 0.351, 0.270, 0.402, 0.253
iaps,7235.jpg, 0.172, 0.223, 0.282, 0.288, 0.320, 0.281
iaps,7236.jpg, 0.324, 0.285, 0.423, 0.386, 0.471, 0.424
iaps,7237.jpg, 0.397, 0.359, 0.958, 0.097, 0.805, 0.221
iaps,7238.jpg, 0.334, 0.275, 0.787, 0.361, 0.568, 0.397
iaps,7240.jpg, 0.313, 0.267, 0.156, 0.170, 0.570, 0.310
iaps,7242.jpg, 0.316, 0.344, 0.325, 0.276, 0.536, 0.372
iaps,7247.jpg, 0.102, 0.167, 0.424, 0.357, 0.279, 0.300
iaps,7248.jpg, 0.157, 0.252, 0.462, 0.468, 0.173, 0.305
iaps,7249.jpg, 0.475, 0.297, 0.357, 0.251, 0.377, 0.287
iaps,7255.jpg, 0.268, 0.268, 0.170, 0.245, 0.914, 0.136
iaps,7260.jpg, 0.241, 0.253, 0.496, 0.367, 0.578, 0.346
iaps,7270.jpg, 0.328, 0.213, 0.434, 0.320, 0.718, 0.302
iaps,7279.jpg, 0.316, 0.289, 0.273, 0.264, 0.443, 0.246
iaps,7280.jpg, 0.442, 0.391, 0.756, 0.261, 0.525, 0.346
iaps,7281.jpg, 0.109, 0.141, 0.376, 0.337, 0.457, 0.320
iaps,7282.jpg, 0.146, 0.306, 0.412, 0.416, 0.265, 0.335
iaps,7283.jpg, 0.144, 0.308, 0.502, 0.442, 0.334, 0.379
iaps,7284.jpg, 0.095, 0.276, 0.495, 0.482, 0.213, 0.264
iaps,7285.jpg, 0.126, 0.295, 0.469, 0.447, 0.250, 0.289
iaps,7286.jpg, 0.127, 0.279, 0.620, 0.436, 0.256, 0.288
iaps,7287.jpg, 0.317, 0.340, 0.449, 0.340, 0.476, 0.354
iaps,7289.jpg, 0.082, 0.141, 0.264, 0.330, 0.296, 0.350
iaps,7290.jpg, 0.300, 0.207, 0.197, 0.285, 0.697, 0.213
iaps,7291.jpg, 0.199, 0.303, 0.592, 0.256, 0.306, 0.297
iaps,7300.jpg, 0.186, 0.263, 0.347, 0.244, 0.504, 0.208
iaps,7320.jpg, 0.127, 0.156, 0.620, 0.288, 0.455, 0.345
iaps,7325.jpg, 0.319, 0.259, 0.478, 0.243, 0.575, 0.260
iaps,7330.jpg, 0.507, 0.442, 0.475, 0.407, 0.273, 0.265
iaps,7340.jpg, 0.174, 0.230, 0.527, 0.419, 0.427, 0.369
iaps,7350.jpg, 0.103, 0.131, 0.624, 0.318, 0.586, 0.299
iaps,7351.jpg, 0.277, 0.406, 0.608, 0.253, 0.459, 0.283
iaps,7352.jpg, 0.212, 0.310, 0.425, 0.401, 0.377, 0.328
iaps,7354.jpg, 0.122, 0.105, 0.321, 0.192, 0.754, 0.153
iaps,7359.jpg, 0.292, 0.345, 0.411, 0.358, 0.749, 0.229
iaps,7360.jpg, 0.291, 0.343, 0.409, 0.357, 0.753, 0.226
iaps,7361.jpg, 0.219, 0.325, 0.440, 0.255, 0.650, 0.291
iaps,7365.jpg, 0.325, 0.394, 0.428, 0.255, 0.655, 0.264
iaps,7380.jpg, 0.154, 0.184, 0.630, 0.278, 0.653, 0.237
iaps,7390.jpg, 0.121, 0.261, 0.748, 0.292, 0.590, 0.217
iaps,7400.jpg, 0.229, 0.210, 0.289, 0.343, 0.564, 0.378
iaps,7402.jpg, 0.053, 0.092, 0.292, 0.371, 0.416, 0.447
iaps,7405.jpg, 0.200, 0.225, 0.340, 0.292, 0.465, 0.320
iaps,7410.jpg, 0.267, 0.344, 0.809, 0.254, 0.553, 0.318
iaps,7430.jpg, 0.097, 0.205, 0.692, 0.305, 0.420, 0.317
iaps,7440.jpg, 0.493, 0.275, 0.244, 0.200, 0.608, 0.222
iaps,7450.jpg, 0.299, 0.244, 0.502, 0.297, 0.760, 0.257
iaps,7451.jpg, 0.205, 0.213, 0.528, 0.279, 0.739, 0.269
iaps,7460.jpg, 0.543, 0.409, 0.886, 0.190, 0.281, 0.304
iaps,7461.jpg, 0.118, 0.181, 0.591, 0.278, 0.823, 0.248
iaps,7470.jpg, 0.110, 0.189, 0.823, 0.248, 0.559, 0.308
iaps,7472.jpg, 0.117, 0.170, 0.730, 0.172, 0.370, 0.233
iaps,7475.jpg, 0.099, 0.201, 0.423, 0.409, 0.405, 0.383
iaps,7476.jpg, 0.193, 0.233, 0.313, 0.218, 0.532, 0.232
iaps,7477.jpg, 0.396, 0.405, 0.240, 0.342, 0.784, 0.299
iaps,7480.jpg, 0.099, 0.109, 0.909, 0.148, 0.474, 0.286
iaps,7481.jpg, 0.071, 0.110, 0.301, 0.353, 0.291, 0.355
iaps,7482.jpg, 0.220, 0.312, 0.553, 0.140, 0.611, 0.242
iaps,7484.jpg, 0.492, 0.361, 0.260, 0.132, 0.450, 0.234
iaps,7487.jpg, 0.089, 0.103, 0.593, 0.248, 0.746, 0.176
iaps,7488.jpg, 0.171, 0.213, 0.503, 0.195, 0.660, 0.264
iaps,7489.jpg, 0.420, 0.244, 0.409, 0.273, 0.584, 0.298
iaps,7490.jpg, 0.583, 0.167, 0.528, 0.166, 0.639, 0.122
iaps,7491.jpg, 0.259, 0.236, 0.395, 0.345, 0.174, 0.193
iaps,7492.jpg, 0.585, 0.178, 0.362, 0.257, 0.589, 0.236
iaps,7493.jpg, 0.197, 0.156, 0.428, 0.233, 0.448, 0.297
iaps,7495.jpg, 0.342, 0.268, 0.512, 0.254, 0.428, 0.241
iaps,7496.jpg, 0.270, 0.294, 0.410, 0.228, 0.390, 0.273
iaps,7497.jpg, 0.291, 0.311, 0.381, 0.313, 0.547, 0.302
iaps,7499.jpg, 0.360, 0.392, 0.532, 0.281, 0.590, 0.335
iaps,7500.jpg, 0.383, 0.343, 0.241, 0.216, 0.496, 0.423
iaps,7501.jpg, 0.166, 0.269, 0.731, 0.281, 0.352, 0.311
iaps,7502.jpg, 0.216, 0.294, 0.232, 0.298, 0.336, 0.337
iaps,7503.jpg, 0.238, 0.329, 0.530, 0.249, 0.291, 0.258
iaps,7504.jpg, 0.160, 0.290, 0.248, 0.293, 0.212, 0.291
iaps,7505.jpg, 0.163, 0.188, 0.483, 0.269, 0.517, 0.269
iaps,7506.jpg, 0.196, 0.315, 0.472, 0.281, 0.305, 0.306
iaps,7507.jpg, 0.346, 0.288, 0.281, 0.233, 0.787, 0.157
iaps,7508.jpg, 0.223, 0.302, 0.451, 0.361, 0.386, 0.397
iaps,7509.jpg, 0.268, 0.361, 0.218, 0.288, 0.809, 0.194
iaps,7510.jpg, 0.199, 0.241, 0.666, 0.315, 0.521, 0.333
iaps,7512.jpg, 0.183, 0.182, 0.347, 0.177, 0.637, 0.174
iaps,7513.jpg, 0.245, 0.276, 0.295, 0.254, 0.701, 0.264
iaps,7515.jpg, 0.196, 0.308, 0.445, 0.258, 0.430, 0.299
iaps,7520.jpg, 0.239, 0.191, 0.460, 0.245, 0.329, 0.223
iaps,7521.jpg, 0.246, 0.235, 0.498, 0.341, 0.653, 0.226
iaps,7530.jpg, 0.466, 0.248, 0.360, 0.210, 0.695, 0.253
iaps,7545.jpg, 0.088, 0.208, 0.301, 0.283, 0.271, 0.309
iaps,7546.jpg, 0.314, 0.262, 0.258, 0.247, 0.499, 0.362
iaps,7547.jpg, 0.329, 0.280, 0.183, 0.188, 0.438, 0.370
iaps,7550.jpg, 0.222, 0.168, 0.447, 0.296, 0.376, 0.294
iaps,7560.jpg, 0.150, 0.202, 0.460, 0.308, 0.347, 0.309
iaps,7570.jpg, 0.405, 0.452, 0.502, 0.294, 0.491, 0.364
iaps,7580.jpg, 0.431, 0.343, 0.521, 0.270, 0.372, 0.213
iaps,7590.jpg, 0.220, 0.375, 0.704, 0.399, 0.255, 0.283
iaps,7595.jpg, 0.393, 0.315, 0.303, 0.154, 0.509, 0.251
iaps,7600.jpg, 0.106, 0.068, 0.770, 0.262, 0.514, 0.337
iaps,7620.jpg, 0.295, 0.407, 0.472, 0.269, 0.617, 0.302
iaps,7632.jpg, 0.253, 0.186, 0.225, 0.277, 0.572, 0.346
iaps,7640.jpg, 0.390, 0.194, 0.254, 0.278, 0.675, 0.284
iaps,7650.jpg, 0.218, 0.204, 0.196, 0.171, 0.505, 0.254
iaps,7660.jpg, 0.198, 0.325, 0.256, 0.323, 0.372, 0.346
iaps,7700.jpg, 0.106, 0.261, 0.296, 0.355, 0.182, 0.290
iaps,7705.jpg, 0.119, 0.059, 0.419, 0.201, 0.655, 0.318
iaps,7710.jpg, 0.365, 0.421, 0.487, 0.357, 0.376, 0.309
iaps,7820.jpg, 0.188, 0.331, 0.918, 0.061, 0.677, 0.227
iaps,7830.jpg, 0.209, 0.268, 0.526, 0.293, 0.547, 0.318
iaps,7900.jpg, 0.198, 0.263, 0.697, 0.337, 0.127, 0.161
iaps,7920.jpg, 0.365, 0.260, 0.360, 0.318, 0.354, 0.252
iaps,7950.jpg, 0.587, 0.266, 0.279, 0.322, 0.631, 0.292
iaps,8001.jpg, 0.100, 0.128, 0.481, 0.221, 0.518, 0.299
iaps,8010.jpg, 0.543, 0.445, 0.343, 0.270, 0.559, 0.319
iaps,8021.jpg, 0.529, 0.275, 0.163, 0.113, 0.529, 0.176
iaps,8030.jpg, 0.584, 0.254, 0.152, 0.210, 0.732, 0.323
iaps,8031.jpg, 0.536, 0.183, 0.445, 0.236, 0.717, 0.160
iaps,8032.jpg, 0.278, 0.227, 0.168, 0.225, 0.764, 0.236
iaps,8033.jpg, 0.196, 0.303, 0.140, 0.135, 0.691, 0.252
iaps,8034.jpg, 0.515, 0.287, 0.242, 0.293, 0.651, 0.275
iaps,8040.jpg, 0.504, 0.193, 0.507, 0.156, 0.569, 0.120
iaps,8041.jpg, 0.494, 0.149, 0.633, 0.154, 0.810, 0.204
iaps,8050.jpg, 0.264, 0.362, 0.225, 0.282, 0.360, 0.328
iaps,8060.jpg, 0.170, 0.318, 0.274, 0.300, 0.198, 0.290
iaps,8065.jpg, 0.323, 0.286, 0.358, 0.335, 0.250, 0.355
iaps,8080.jpg, 0.362, 0.198, 0.282, 0.268, 0.765, 0.308
iaps,8090.jpg, 0.255, 0.346, 0.407, 0.248, 0.262, 0.272
iaps,8116.jpg, 0.277, 0.118, 0.635, 0.265, 0.389, 0.351
iaps,8117.jpg, 0.601, 0.233, 0.457, 0.286, 0.394, 0.307
iaps,8118.jpg, 0.237, 0.204, 0.330, 0.184, 0.481, 0.255
iaps,8120.jpg, 0.389, 0.243, 0.406, 0.313, 0.493, 0.335
iaps,8121.jpg, 0.345, 0.273, 0.312, 0.163, 0.564, 0.179
iaps,8130.jpg, 0.201, 0.235, 0.304, 0.257, 0.510, 0.359
iaps,8158.jpg, 0.527, 0.236, 0.183, 0.149, 0.448, 0.187
iaps,8160.jpg, 0.086, 0.079, 0.586, 0.191, 0.534, 0.169
iaps,8161.jpg, 0.555, 0.241, 0.364, 0.223, 0.694, 0.165
iaps,8162.jpg, 0.373, 0.418, 0.499, 0.409, 0.428, 0.373
iaps,8163.jpg, 0.585, 0.121, 0.134, 0.175, 0.767, 0.087
iaps,8170.jpg, 0.489, 0.222, 0.296, 0.209, 0.544, 0.285
iaps,8178.jpg, 0.174, 0.198, 0.150, 0.192, 0.241, 0.285
iaps,8179.jpg, 0.149, 0.098, 0.658, 0.250, 0.201, 0.238
iaps,8180.jpg, 0.324, 0.405, 0.344, 0.372, 0.530, 0.400
iaps,8185.jpg, 0.477, 0.221, 0.353, 0.254, 0.543, 0.272
iaps,8186.jpg, 0.481, 0.180, 0.412, 0.211, 0.495, 0.255
iaps,8190.jpg, 0.421, 0.229, 0.067, 0.067, 0.781, 0.169
iaps,8191.jpg, 0.441, 0.183, 0.136, 0.155, 0.706, 0.233
iaps,8192.jpg, 0.286, 0.219, 0.511, 0.315, 0.341, 0.271
iaps,8193.jpg, 0.542, 0.138, 0.704, 0.240, 0.682, 0.177
iaps,8200.jpg, 0.445, 0.267, 0.168, 0.201, 0.803, 0.266
iaps,8205.jpg, 0.500, 0.195, 0.244, 0.269, 0.538, 0.234
iaps,8206.jpg, 0.651, 0.145, 0.333, 0.117, 0.464, 0.314
iaps,8208.jpg, 0.320, 0.225, 0.169, 0.127, 0.496, 0.233
iaps,8210.jpg, 0.488, 0.189, 0.420, 0.208, 0.567, 0.210
iaps,8211.jpg, 0.316, 0.179, 0.354, 0.254, 0.354, 0.202
iaps,8220.jpg, 0.060, 0.149, 0.297, 0.385, 0.207, 0.274
iaps,8230.jpg, 0.161, 0.296, 0.272, 0.332, 0.198, 0.271
iaps,8231.jpg, 0.198, 0.143, 0.806, 0.214, 0.469, 0.386
iaps,8232.jpg, 0.356, 0.228, 0.423, 0.234, 0.332, 0.284
iaps,8241.jpg, 0.332, 0.350, 0.326, 0.353, 0.378, 0.372
iaps,8250.jpg, 0.151, 0.155, 0.308, 0.296, 0.372, 0.186
iaps,8251.jpg, 0.466, 0.340, 0.188, 0.241, 0.290, 0.205
iaps,8260.jpg, 0.191, 0.162, 0.356, 0.310, 0.467, 0.239
iaps,8280.jpg, 0.458, 0.278, 0.469, 0.241, 0.434, 0.238
iaps,8300.jpg, 0.448, 0.219, 0.372, 0.262, 0.494, 0.270
iaps,8311.jpg, 0.325, 0.205, 0.420, 0.235, 0.486, 0.253
iaps,8312.jpg, 0.273, 0.148, 0.336, 0.204, 0.609, 0.161
iaps,8320.jpg, 0.181, 0.186, 0.413, 0.285, 0.519, 0.259
iaps,8325.jpg, 0.228, 0.275, 0.258, 0.224, 0.643, 0.214
iaps,8330.jpg, 0.135, 0.121, 0.331, 0.256, 0.461, 0.321
iaps,8340.jpg, 0.329, 0.294, 0.335, 0.316, 0.293, 0.222
iaps,8341.jpg, 0.432, 0.308, 0.427, 0.353, 0.599, 0.351
iaps,8350.jpg, 0.197, 0.190, 0.203, 0.233, 0.640, 0.269
iaps,8370.jpg, 0.267, 0.170, 0.239, 0.229, 0.545, 0.287
iaps,8371.jpg, 0.446, 0.316, 0.289, 0.276, 0.526, 0.298
iaps,8380.jpg, 0.388, 0.284, 0.361, 0.351, 0.512, 0.320
iaps,8400.jpg, 0.364, 0.368, 0.366, 0.330, 0.337, 0.251
iaps,8420.jpg, 0.156, 0.159, 0.366, 0.233, 0.561, 0.275
iaps,8460.jpg, 0.420, 0.316, 0.273, 0.160, 0.516, 0.250
iaps,8461.jpg, 0.157, 0.150, 0.512, 0.277, 0.320, 0.300
iaps,8465.jpg, 0.542, 0.187, 0.344, 0.196, 0.609, 0.220
iaps,8466.jpg, 0.169, 0.132, 0.370, 0.219, 0.521, 0.230
iaps,8467.jpg, 0.649, 0.266, 0.449, 0.241, 0.492, 0.363
iaps,8470.jpg, 0.267, 0.336, 0.410, 0.330, 0.299, 0.204
iaps,8475.jpg, 0.512, 0.176, 0.304, 0.201, 0.583, 0.222
iaps,8480.jpg, 0.058, 0.059, 0.861, 0.085, 0.645, 0.258
iaps,8485.jpg, 0.135, 0.136, 0.832, 0.205, 0.677, 0.391
iaps,8490.jpg, 0.070, 0.101, 0.750, 0.252, 0.509, 0.292
iaps,8492.jpg, 0.309, 0.213, 0.264, 0.245, 0.513, 0.256
