ImageSet,File,hue_mean,hue_sd,saturation_mean, saturation_sd,value_mean, value_sd
iaps,1942.jpg, 0.515, 0.176, 0.683, 0.172, 0.803, 0.229
iaps,1945.jpg, 0.181, 0.142, 0.720, 0.222, 0.423, 0.354
iaps,1947.jpg, 0.611, 0.118, 0.694, 0.188, 0.526, 0.252
iaps,1999.jpg, 0.231, 0.358, 0.576, 0.299, 0.459, 0.378
iaps,2000.jpg, 0.411, 0.442, 0.686, 0.393, 0.342, 0.298
iaps,2002.jpg, 0.517, 0.347, 0.404, 0.200, 0.594, 0.288
iaps,2005.jpg, 0.198, 0.233, 0.207, 0.289, 0.277, 0.391
iaps,2010.jpg, 0.241, 0.303, 0.593, 0.298, 0.249, 0.245
iaps,2018.jpg, 0.088, 0.065, 0.497, 0.218, 0.423, 0.394
iaps,2019.jpg, 0.357, 0.229, 0.278, 0.231, 0.507, 0.280
iaps,2020.jpg, 0.115, 0.109, 0.776, 0.323, 0.477, 0.261
iaps,2025.jpg, 0.219, 0.271, 0.259, 0.234, 0.233, 0.248
iaps,2026.jpg, 0.301, 0.381, 0.452, 0.347, 0.582, 0.300
iaps,2030.jpg, 0.278, 0.221, 0.341, 0.367, 0.789, 0.263
iaps,2032.jpg, 0.136, 0.208, 0.289, 0.247, 0.605, 0.363
iaps,2034.jpg, 0.357, 0.295, 0.354, 0.229, 0.550, 0.215
iaps,2035.jpg, 0.287, 0.287, 0.525, 0.294, 0.536, 0.314
iaps,2036.jpg, 0.355, 0.369, 0.384, 0.316, 0.528, 0.311
iaps,2037.jpg, 0.400, 0.432, 0.720, 0.205, 0.565, 0.263
iaps,2038.jpg, 0.130, 0.277, 0.513, 0.371, 0.231, 0.286
iaps,2039.jpg, 0.332, 0.341, 0.399, 0.277, 0.395, 0.282
iaps,2040.jpg, 0.286, 0.230, 0.487, 0.253, 0.554, 0.341
iaps,2045.jpg, 0.300, 0.297, 0.263, 0.260, 0.548, 0.297
iaps,2050.jpg, 0.218, 0.336, 0.348, 0.391, 0.223, 0.320
iaps,2053.jpg, 0.119, 0.147, 0.608, 0.207, 0.657, 0.286
iaps,2055.1.jpg, 0.528, 0.154, 0.528, 0.256, 0.546, 0.294
iaps,2055.2.jpg, 0.529, 0.152, 0.516, 0.264, 0.575, 0.263
iaps,2056.jpg, 0.455, 0.194, 0.134, 0.119, 0.796, 0.187
iaps,2057.jpg, 0.137, 0.098, 0.224, 0.281, 0.891, 0.200
iaps,2058.jpg, 0.135, 0.149, 0.491, 0.345, 0.540, 0.346
iaps,2060.jpg, 0.270, 0.327, 0.286, 0.320, 0.819, 0.199
iaps,2070.jpg, 0.264, 0.293, 0.409, 0.264, 0.462, 0.372
iaps,2071.jpg, 0.182, 0.310, 0.224, 0.292, 0.410, 0.430
iaps,2075.jpg, 0.203, 0.278, 0.324, 0.237, 0.788, 0.187
iaps,2080.jpg, 0.265, 0.250, 0.424, 0.367, 0.614, 0.349
