"file","arousal","craving","related","typicality","valence"
"control_tools_hands44.jpg",3.72727272727273,7.63636363636364,0,25.4545454545455,5.18181818181818
"control_tools_hands45.jpg",2.55555555555556,3.88888888888889,0,60.1111111111111,6.66666666666667
"control_tools_hands46.jpg",2.8,3.8,0,45.5,6
"control_tools_hands47.jpg",2.77777777777778,3.11111111111111,0,36.8888888888889,6.33333333333333
"control_tools_hands48.jpg",2.9,12.1,0,32.6,5.6
"control_tools_hands49.jpg",3.36363636363636,2.45454545454545,0,19.5454545454545,5.63636363636364
"control_tools_hands50.jpg",2.90909090909091,1.63636363636364,0,30.0909090909091,6.09090909090909
"control_tools_hands51.jpg",3.18181818181818,6.72727272727273,0,20.6363636363636,6.36363636363636
"control_tools_hands52.jpg",3,4.81818181818182,0,27.0909090909091,6.09090909090909
"control_tools_hands53.jpg",2.88888888888889,2.44444444444444,0,40.3333333333333,6.22222222222222
"control_tools_hands54.jpg",3.09090909090909,2.63636363636364,0,35,6.45454545454545
"control_tools_hands55.jpg",4,9.5,0,59.8,6.2
"control_tools_hands56.jpg",3.63636363636364,7.90909090909091,0,58.6363636363636,6.09090909090909
"control_tools_hands57.jpg",2.90909090909091,3.90909090909091,0,43.7272727272727,6.54545454545455
"control_tools_hands58.jpg",2.6,2.1,0,35,6.4
"control_tools_hands59.jpg",3,2.36363636363636,0,13,5.72727272727273
"control_tools_hands60.jpg",3.09090909090909,8.18181818181818,0,52.7272727272727,6.36363636363636
"control_tools13.jpg",2.63636363636364,9.27272727272727,0,25.8181818181818,5.27272727272727
"control_tools14.jpg",2.90909090909091,3.09090909090909,0,47.1818181818182,6
"control_tools15.jpg",3.09090909090909,6.27272727272727,0,36.5454545454545,6.54545454545455
"control_tools16.jpg",2.77777777777778,4.66666666666667,0,45.6666666666667,4
"control_tools17.jpg",3.72727272727273,1.90909090909091,0,41.7272727272727,5.81818181818182
"control_tools18.jpg",2.77777777777778,5.44444444444444,0,38.1111111111111,5.44444444444444
"control_tools19.jpg",3.22222222222222,13,0,41.3333333333333,6.22222222222222
"control_tools20.jpg",2.3,12,0,49.3,5.5
"control_tools21.jpg",3.3,9.1,0,35.9,5.6
"control_tools22.jpg",3,13.3,0,20,5.5
"control_tools23.jpg",3.22222222222222,2.55555555555556,0,63.6666666666667,5.88888888888889
"control_tools24.jpg",3.2,2.3,0,31,5.5
"substance_activities_faces089.jpg",6.09090909090909,90.6363636363636,1,91.5454545454545,3.54545454545455
"substance_activities_faces090.jpg",5.9,91.6,1,96.1,3.6
"substance_activities_faces091.jpg",5.7,88.9,1,90.8,2.9
"substance_activities_faces092.jpg",5.7,91.5,1,90.4,2.9
"substance_activities_faces093.jpg",5.90909090909091,90.2727272727273,1,88.0909090909091,3
"substance_activities_faces094.jpg",6.36363636363636,92.1818181818182,1,89.6363636363636,3.09090909090909
"substance_activities_faces095.jpg",5.9,89.3,1,92.9,2.7
"substance_activities_faces096.jpg",4.4,78.3,1,82.4,3.3
"substance_activities_faces097.jpg",5,83.4,1,86.1,2.6
"substance_activities_faces098.jpg",5.5,91.4,1,84.8,3
