"file","description","category","group","valence_mean","valence_sd","arousal_mean","arousal_sd","craving_mean","craving_sd","related_mean","related_sd","typicality_mean","typicality_sd","hue_mean","hue_sd","saturation_mean","saturation_sd","value_mean","value_sd"
"control_objects09.jpg","Neutral Objects","0","control",5.4,1.56944509134179,3,2,6.2,9.41778832009433,0.05,0.223606797749979,11.4,15.8924013620545,0.298,0.388,0.477,0.229,0.557,0.234
"control_objects10.jpg","Neutral Objects","0","control",5.42105263157895,1.53896752812773,3.21052631578947,1.96012888942485,9.05263157894737,15.8971474876977,0,0,17.4210526315789,26.5755020637714,0.279,0.262,0.183,0.159,0.534,0.246
"control_objects11.jpg","Neutral Objects","0","control",5.26315789473684,1.484815935587,4,1.76383420737639,11.4210526315789,21.7672429466177,0.105263157894737,0.315301767642306,34,37.2812136187771,0.117,0.15,0.078,0.118,0.644,0.202
"control_objects12.jpg","Neutral Objects","0","control",5.15789473684211,1.11868761873192,3.21052631578947,1.81288436134309,6.94736842105263,8.22241978583573,0,0,16.1578947368421,24.9739045091621,0.049,0.168,0.003,0.012,0.984,0.064
"control_tools_faces61.jpg","Neutral Tools with Faces","5","control",5.77777777777778,1.92676368573149,3.44444444444444,1.7895849739772,12.4444444444444,25.008756636361,0,0,19.6111111111111,29.370130663029,0.393,0.265,0.305,0.195,0.591,0.259
"control_tools_faces62.jpg","Neutral Tools with Faces","5","control",5.8,1.67332005306815,3.45,1.8771478925557,10.95,15.8628165017572,0,0,23.65,28.0455925799027,0.197,0.264,0.412,0.306,0.263,0.241
"control_tools_faces63.jpg","Neutral Tools with Faces","5","control",5.63157894736842,1.86221273148637,3.3,2.25014619408092,10.85,17.5807161101978,0,0,46.95,38.3714189140001,0.356,0.313,0.127,0.123,0.528,0.222
"control_tools_faces64.jpg","Neutral Tools with Faces","5","control",5.52631578947368,1.64547936455651,3.26315789473684,1.91026773176368,8.21052631578947,20.6574682415839,0,0,25.1052631578947,34.5187464959132,0.088,0.065,0.522,0.222,0.621,0.241
"control_tools_faces65.jpg","Neutral Tools with Faces","5","control",6.10526315789474,1.88251418298052,3.36842105263158,1.8015587792486,3.10526315789474,3.88579659846966,0,0,37.1578947368421,38.4017695742364,0.264,0.245,0.206,0.191,0.818,0.169
"control_tools_faces66.jpg","Neutral Tools with Faces","5","control",6.15789473684211,1.803181074741,3,1.9436506316151,7.78947368421053,12.2137397465515,0,0,28.2105263157895,32.2775789870176,0.254,0.374,0.559,0.233,0.512,0.272
"control_tools_faces67.jpg","Neutral Tools with Faces","5","control",5.84210526315789,1.77210351762897,2.63157894736842,1.89181060585383,2.94736842105263,3.95071982485508,0.0526315789473684,0.229415733870562,27.4736842105263,30.6546505825655,0.404,0.304,0.294,0.258,0.53,0.313
"control_tools_faces68.jpg","Neutral Tools with Faces","5","control",5.57894736842105,1.64370142847322,3.68421052631579,1.94515442343125,8.42105263157895,15.5145658781019,0,0,25.7368421052632,33.3464009473339,0.085,0.149,0.265,0.191,0.626,0.262
"control_tools_faces69.jpg","Neutral Tools with Faces","5","control",5.95,1.70061908232205,3.1,1.94395148304196,13,24.1377625091343,0,0,27.1,38.9762410760844,0.491,0.217,0.267,0.182,0.243,0.201
"control_tools_faces70.jpg","Neutral Tools with Faces","5","control",6.3,1.86660400897346,3.05,2.0384462607326,6.4,11.8116802138258,0,0,46.05,40.8005095427418,0.238,0.249,0.244,0.172,0.741,0.222
"control_tools_faces71.jpg","Neutral Tools with Faces","5","control",5.7,1.97617386833617,3.55,1.79105966869954,5.6,11.7132403714771,0,0,31.75,36.7994207620317,0.456,0.342,0.307,0.224,0.357,0.296
"control_tools_faces72.jpg","Neutral Tools with Faces","5","control",5.35,1.78517285024817,3,1.7167901505579,2.8,3.73602659744843,0,0,23.5,28.6641165736425,0.374,0.306,0.286,0.232,0.528,0.274
"control_tools_hands37.jpg","Neutral Tools with Hands, simple","3","control",5.52631578947368,1.806421294919,4.31578947368421,2.31066684888794,37.6315789473684,35.8828503239141,0.263157894736842,0.452413928358864,36.5789473684211,31.9258094641549,0.12,0.181,0.174,0.269,0.186,0.289
"control_tools_hands38.jpg","Neutral Tools with Hands, simple","3","control",4.83333333333333,1.79049779473229,3.44444444444444,2.17532207817391,17.1666666666667,30.8625987240219,0.111111111111111,0.323380833381777,35.1111111111111,36.6122590991033,0.379,0.411,0.123,0.153,0.258,0.264
"control_tools_hands39.jpg","Neutral Tools with Hands, simple","3","control",5.5,1.63835604381825,3.4,1.87504385913616,4.9,11.2245032711568,0,0,26.1,28.9480478389167,0.494,0.239,0.278,0.371,0.779,0.157
