file,hue,saturation,value
control_tools_faces65.jpg, 0.264, 0.206, 0.818
control_tools_faces66.jpg, 0.254, 0.559, 0.512
control_tools_faces67.jpg, 0.404, 0.294, 0.530
control_tools_faces68.jpg, 0.085, 0.265, 0.626
control_tools_faces69.jpg, 0.491, 0.267, 0.243
control_tools_faces70.jpg, 0.238, 0.244, 0.741
control_tools_faces71.jpg, 0.456, 0.307, 0.357
control_tools_faces72.jpg, 0.374, 0.286, 0.528
control_tools_hands37.jpg, 0.120, 0.174, 0.186
control_tools_hands38.jpg, 0.379, 0.123, 0.258
control_tools_hands39.jpg, 0.494, 0.278, 0.779
control_tools_hands40.jpg, 0.065, 0.109, 0.139
control_tools_hands41.jpg, 0.037, 0.160, 0.134
control_tools_hands42.jpg, 0.245, 0.345, 0.481
control_tools_hands43.jpg, 0.233, 0.307, 0.497
control_tools_hands44.jpg, 0.022, 0.107, 0.180
control_tools_hands45.jpg, 0.367, 0.157, 0.699
control_tools_hands46.jpg, 0.206, 0.509, 0.690
control_tools_hands47.jpg, 0.017, 0.068, 0.107
control_tools_hands48.jpg, 0.018, 0.097, 0.144
control_tools_hands49.jpg, 0.244, 0.359, 0.226
control_tools_hands50.jpg, 0.297, 0.159, 0.489
control_tools_hands51.jpg, 0.390, 0.380, 0.508
control_tools_hands52.jpg, 0.114, 0.521, 0.658
control_tools_hands53.jpg, 0.209, 0.242, 0.606
control_tools_hands54.jpg, 0.107, 0.479, 0.690
control_tools_hands55.jpg, 0.431, 0.083, 0.340
control_tools_hands56.jpg, 0.065, 0.127, 0.195
control_tools_hands57.jpg, 0.436, 0.254, 0.530
control_tools_hands58.jpg, 0.355, 0.349, 0.578
control_tools_hands59.jpg, 0.202, 0.337, 0.641
control_tools_hands60.jpg, 0.257, 0.274, 0.601
