file,hue_mean,hue_sd,saturation_mean, saturation_sd,value_mean, value_sd
control_objects11.jpg, 0.117, 0.150, 0.078, 0.118, 0.644, 0.202
control_objects12.jpg, 0.049, 0.168, 0.003, 0.012, 0.984, 0.064
control_objects_hands25.jpg, 0.428, 0.329, 0.273, 0.120, 0.522, 0.254
control_objects_hands26.jpg, 0.302, 0.352, 0.316, 0.174, 0.416, 0.300
control_objects_hands27.jpg, 0.533, 0.316, 0.257, 0.205, 0.453, 0.247
control_objects_hands28.jpg, 0.386, 0.285, 0.261, 0.133, 0.505, 0.259
control_objects_hands29.jpg, 0.104, 0.215, 0.354, 0.178, 0.630, 0.287
control_objects_hands30.jpg, 0.358, 0.291, 0.151, 0.123, 0.588, 0.226
control_objects_hands31.jpg, 0.082, 0.041, 0.429, 0.133, 0.743, 0.193
control_objects_hands32.jpg, 0.136, 0.206, 0.481, 0.173, 0.849, 0.139
control_objects_hands33.jpg, 0.064, 0.053, 0.219, 0.081, 0.274, 0.206
control_objects_hands34.jpg, 0.017, 0.061, 0.124, 0.231, 0.192, 0.348
control_objects_hands35.jpg, 0.069, 0.108, 0.439, 0.125, 0.624, 0.189
control_objects_hands36.jpg, 0.374, 0.371, 0.233, 0.113, 0.562, 0.272
control_tools13.jpg, 0.617, 0.204, 0.317, 0.184, 0.241, 0.348
control_tools14.jpg, 0.292, 0.208, 0.227, 0.110, 0.163, 0.220
control_tools15.jpg, 0.025, 0.128, 0.028, 0.138, 0.966, 0.118
control_tools16.jpg, 0.000, 0.000, 0.000, 0.000, 0.977, 0.105
control_tools17.jpg, 0.247, 0.298, 0.204, 0.083, 0.719, 0.190
control_tools18.jpg, 0.101, 0.197, 0.366, 0.161, 0.508, 0.233
control_tools19.jpg, 0.038, 0.085, 0.127, 0.238, 0.166, 0.309
control_tools20.jpg, 0.045, 0.130, 0.037, 0.101, 0.056, 0.149
control_tools21.jpg, 0.092, 0.220, 0.080, 0.201, 0.049, 0.125
control_tools22.jpg, 0.098, 0.213, 0.060, 0.161, 0.129, 0.246
control_tools23.jpg, 0.008, 0.071, 0.000, 0.004, 0.333, 0.224
control_tools24.jpg, 0.027, 0.058, 0.072, 0.168, 0.199, 0.345
control_tools_faces61.jpg, 0.393, 0.265, 0.305, 0.195, 0.591, 0.259
control_tools_faces62.jpg, 0.197, 0.264, 0.412, 0.306, 0.263, 0.241
control_tools_faces63.jpg, 0.356, 0.313, 0.127, 0.123, 0.528, 0.222
control_tools_faces64.jpg, 0.088, 0.065, 0.522, 0.222, 0.621, 0.241
control_tools_faces65.jpg, 0.264, 0.245, 0.206, 0.191, 0.818, 0.169
control_tools_faces66.jpg, 0.254, 0.374, 0.559, 0.233, 0.512, 0.272
control_tools_faces67.jpg, 0.404, 0.304, 0.294, 0.258, 0.530, 0.313
control_tools_faces68.jpg, 0.085, 0.149, 0.265, 0.191, 0.626, 0.262
control_tools_faces69.jpg, 0.491, 0.217, 0.267, 0.182, 0.243, 0.201
control_tools_faces70.jpg, 0.238, 0.249, 0.244, 0.172, 0.741, 0.222
control_tools_faces71.jpg, 0.456, 0.342, 0.307, 0.224, 0.357, 0.296
control_tools_faces72.jpg, 0.374, 0.306, 0.286, 0.232, 0.528, 0.274
control_tools_hands37.jpg, 0.120, 0.181, 0.174, 0.269, 0.186, 0.289
control_tools_hands38.jpg, 0.379, 0.411, 0.123, 0.153, 0.258, 0.264
control_tools_hands39.jpg, 0.494, 0.239, 0.278, 0.371, 0.779, 0.157
control_tools_hands40.jpg, 0.065, 0.224, 0.109, 0.245, 0.139, 0.306
control_tools_hands41.jpg, 0.037, 0.094, 0.160, 0.258, 0.134, 0.244
control_tools_hands42.jpg, 0.245, 0.250, 0.345, 0.295, 0.481, 0.195
control_tools_hands43.jpg, 0.233, 0.354, 0.307, 0.215, 0.497, 0.279
control_tools_hands44.jpg, 0.022, 0.084, 0.107, 0.197, 0.180, 0.327
control_tools_hands45.jpg, 0.367, 0.259, 0.157, 0.174, 0.699, 0.194
control_tools_hands46.jpg, 0.206, 0.322, 0.509, 0.274, 0.690, 0.203
control_tools_hands47.jpg, 0.017, 0.085, 0.068, 0.169, 0.107, 0.263
control_tools_hands48.jpg, 0.018, 0.075, 0.097, 0.194, 0.144, 0.289
control_tools_hands49.jpg, 0.244, 0.244, 0.359, 0.169, 0.226, 0.206
control_tools_hands50.jpg, 0.297, 0.245, 0.159, 0.108, 0.489, 0.298
control_tools_hands51.jpg, 0.390, 0.359, 0.380, 0.203, 0.508, 0.312
control_tools_hands52.jpg, 0.114, 0.234, 0.521, 0.240, 0.658, 0.273
control_tools_hands53.jpg, 0.209, 0.256, 0.242, 0.175, 0.606, 0.262
control_tools_hands54.jpg, 0.107, 0.088, 0.479, 0.301, 0.690, 0.278
control_tools_hands55.jpg, 0.431, 0.366, 0.083, 0.098, 0.340, 0.178
control_tools_hands56.jpg, 0.065, 0.178, 0.127, 0.232, 0.195, 0.338
control_tools_hands57.jpg, 0.436, 0.228, 0.254, 0.247, 0.530, 0.267
control_tools_hands58.jpg, 0.355, 0.282, 0.349, 0.248, 0.578, 0.252
control_tools_hands59.jpg, 0.202, 0.253, 0.337, 0.226, 0.641, 0.261
control_tools_hands60.jpg, 0.257, 0.275, 0.274, 0.178, 0.601, 0.212
